D00210.001,D00120.001
4.797900,1.627043
1.551682,1.153432
1.062968,2.509017
5.575646,0.423160
8.803360,1.199574
0.165521,1.948773
2.493268,1.484006
0.013727,0.456821
0.350031,2.217140
0.181283,2.300288
2.110758,0.982936
2.517185,1.064876
4.605169,3.192656
0.942335,1.015180
2.131109,1.391713
0.679180,0.945624
2.498321,1.684957
0.216427,1.571683
0.392556,0.554545
0.048139,1.340747
1.427316,2.075352
0.251368,1.672276
5.513149,2.960253
4.249595,2.575648
3.920203,3.184157
-0.046036,1.148085
0.112814,0.169505
0.741264,1.433475
-0.085402,1.831107
1.191833,1.478700
4.177439,0.976133
5.064881,1.520767
5.313385,2.108883
-0.067599,1.053419
0.527339,1.118242
1.188222,1.091055
-0.043053,1.558567
0.289249,1.209067
0.861722,2.946641
0.427348,0.639916
5.864517,2.037347
0.220828,0.998756
0.015330,1.496020
4.924441,2.425916
0.268376,0.821703
0.010580,1.930067
4.402342,0.803916
0.650716,2.666001
0.935022,2.239192
0.020995,0.430692
0.047220,0.997368
5.104370,0.680198
0.744322,0.560400
5.349322,1.433342
0.653342,1.452251
1.774708,1.685978
4.569361,2.591904
0.492389,3.299238
5.141097,2.080312
5.681663,1.222948
2.536588,1.067075
0.783691,1.335232
0.150666,0.768434
3.250105,2.012260
0.286081,1.632586
3.176729,3.416775
-0.070523,1.080402
1.214427,0.345138
-0.012501,1.385804
2.062755,1.260569
1.506359,1.640076
5.064670,1.058527
2.140148,2.194538
7.534954,2.170284
0.846330,1.323584
0.720317,3.288239
0.553485,2.130360
0.166535,1.397585
0.261830,0.758358
1.620342,1.467474
5.322023,1.931530
3.634230,1.865989
0.554365,2.136611
0.078514,0.734095
3.898926,1.766059
1.017638,2.318101
4.947354,2.770515
1.444624,1.395178
1.297406,1.167843
6.408751,1.557465
0.004604,0.141962
1.387434,2.970839
0.305255,0.906063
0.439705,1.723268
4.699342,0.531714
0.320545,0.632060
0.251374,1.821144
0.872404,1.323192
5.931203,1.938726
0.376697,1.021081
0.341471,1.299721
6.027255,0.592687
0.399019,1.986195
1.239580,0.839705
0.936766,0.595918
1.466960,2.187514
2.518631,1.416568
0.452352,0.870296
0.692587,1.228729
3.516070,1.334113
0.142753,1.653624
1.198514,1.064026
-0.010964,1.230513
0.597417,0.861221
0.070271,1.360064
1.082390,2.799607
0.120643,0.198040
1.623085,1.035828
0.037751,0.566657
0.675586,0.166987
4.280947,0.425224
3.012206,1.123957
-0.054397,0.787798
5.339408,1.032837
-0.084444,1.249146
0.156432,0.374658
3.814906,0.672345
0.545326,1.558826
0.567502,1.513512
-0.027301,2.106349
0.099441,0.296846
0.443787,3.179677
0.089633,1.247585
-0.020098,0.262793
1.229333,1.720372
